Notes,State,State Code,Year of Death,Year of Death Code,Age of Mother,Age of Mother Code,Deaths,Births,Death Rate
,District of Columbia,11,2009,2009,25-29 years,25-29,26,2045,12.71
,District of Columbia,11,2009,2009,30-34 years,30-34,14,2240,6.25
,District of Columbia,11,2009,2009,35-39 years,35-39,14,1477,9.48
,District of Columbia,11,2010,2010,20-24 years,20-24,11,1869,5.89
,District of Columbia,11,2010,2010,25-29 years,25-29,13,1996,6.51
,District of Columbia,11,2010,2010,30-34 years,30-34,20,2469,8.1
,District of Columbia,11,2010,2010,35-39 years,35-39,19,1457,13.04
,District of Columbia,11,2011,2011,20-24 years,20-24,24,1890,12.7
,District of Columbia,11,2011,2011,25-29 years,25-29,17,1888,9
,District of Columbia,11,2011,2011,30-34 years,30-34,13,2622,4.96
,District of Columbia,11,2012,2012,20-24 years,20-24,24,1830,13.11
,District of Columbia,11,2012,2012,25-29 years,25-29,21,1973,10.64
,District of Columbia,11,2012,2012,30-34 years,30-34,13,2623,4.96
,District of Columbia,11,2013,2013,20-24 years,20-24,10,1717,5.82
,District of Columbia,11,2013,2013,25-29 years,25-29,20,1864,10.73
,District of Columbia,11,2013,2013,30-34 years,30-34,14,2886,4.85
,District of Columbia,11,2014,2014,20-24 years,20-24,17,1740,9.77
,District of Columbia,11,2014,2014,25-29 years,25-29,18,1951,9.23
,District of Columbia,11,2014,2014,30-34 years,30-34,15,2934,5.11
,District of Columbia,11,2014,2014,35-39 years,35-39,16,1845,8.67
,Florida,12,2007,2007,15-19 years,15-19,268,25693,10.43
,Florida,12,2007,2007,20-24 years,20-24,483,62647,7.71
,Florida,12,2007,2007,25-29 years,25-29,396,64904,6.1
,Florida,12,2007,2007,30-34 years,30-34,286,51195,5.59
,Florida,12,2007,2007,35-39 years,35-39,197,27767,7.09
,Florida,12,2007,2007,40-44 years,40-44,52,6188,8.4
,Florida,12,2008,2008,15-19 years,15-19,255,24077,10.59
,Florida,12,2008,2008,20-24 years,20-24,490,59657,8.21
,Florida,12,2008,2008,25-29 years,25-29,402,63574,6.32
,Florida,12,2008,2008,30-34 years,30-34,274,50016,5.48
,Florida,12,2008,2008,35-39 years,35-39,206,27111,7.6
,Florida,12,2008,2008,40-44 years,40-44,49,6205,7.9
,Florida,12,2009,2009,15-19 years,15-19,213,22021,9.67
,Florida,12,2009,2009,20-24 years,20-24,436,56368,7.73
,Florida,12,2009,2009,25-29 years,25-29,385,61782,6.23
,Florida,12,2009,2009,30-34 years,30-34,276,48621,5.68
,Florida,12,2009,2009,35-39 years,35-39,167,25875,6.45
,Florida,12,2009,2009,40-44 years,40-44,42,6033,6.96
,Florida,12,2010,2010,15-19 years,15-19,190,19127,9.93
,Florida,12,2010,2010,20-24 years,20-24,408,53036,7.69
,Florida,12,2010,2010,25-29 years,25-29,334,60733,5.5
,Florida,12,2010,2010,30-34 years,30-34,269,49475,5.44
,Florida,12,2010,2010,35-39 years,35-39,131,25411,5.16
,Florida,12,2010,2010,40-44 years,40-44,57,6152,9.27
,Florida,12,2011,2011,15-19 years,15-19,141,17125,8.23
,Florida,12,2011,2011,20-24 years,20-24,389,52072,7.47
,Florida,12,2011,2011,25-29 years,25-29,372,60335,6.17
,Florida,12,2011,2011,30-34 years,30-34,273,51059,5.35
,Florida,12,2011,2011,35-39 years,35-39,144,25843,5.57
,Florida,12,2011,2011,40-44 years,40-44,56,6369,8.79
,Florida,12,2012,2012,15-19 years,15-19,131,15952,8.21
