Notes,State,State Code,Year of Death,Year of Death Code,Age of Mother,Age of Mother Code,Deaths,Births,Death Rate
,New Jersey,34,2011,2011,40-44 years,40-44,27,4342,6.22
,New Jersey,34,2012,2012,15-19 years,15-19,35,4772,7.33
,New Jersey,34,2012,2012,20-24 years,20-24,88,16827,5.23
,New Jersey,34,2012,2012,25-29 years,25-29,105,26832,3.91
,New Jersey,34,2012,2012,30-34 years,30-34,125,33144,3.77
,New Jersey,34,2012,2012,35-39 years,35-39,72,17899,4.02
,New Jersey,34,2012,2012,40-44 years,40-44,33,4362,7.57
,New Jersey,34,2013,2013,15-19 years,15-19,29,4188,6.92
,New Jersey,34,2013,2013,20-24 years,20-24,99,15913,6.22
,New Jersey,34,2013,2013,25-29 years,25-29,106,26158,4.05
,New Jersey,34,2013,2013,30-34 years,30-34,134,33638,3.98
,New Jersey,34,2013,2013,35-39 years,35-39,71,18165,3.91
,New Jersey,34,2013,2013,40-44 years,40-44,18,4117,4.37
,New Jersey,34,2014,2014,15-19 years,15-19,30,3678,8.16
,New Jersey,34,2014,2014,20-24 years,20-24,89,15420,5.77
,New Jersey,34,2014,2014,25-29 years,25-29,127,26349,4.82
,New Jersey,34,2014,2014,30-34 years,30-34,109,34565,3.15
,New Jersey,34,2014,2014,35-39 years,35-39,72,18659,3.86
,New Jersey,34,2014,2014,40-44 years,40-44,24,4251,5.65
,New Mexico,35,2007,2007,15-19 years,15-19,40,4720,8.47
,New Mexico,35,2007,2007,20-24 years,20-24,59,9330,6.32
,New Mexico,35,2007,2007,25-29 years,25-29,41,8160,5.02
,New Mexico,35,2007,2007,30-34 years,30-34,30,5168,5.8
,New Mexico,35,2007,2007,35-39 years,35-39,11,2572,4.28
,New Mexico,35,2008,2008,15-19 years,15-19,31,4540,6.83
,New Mexico,35,2008,2008,20-24 years,20-24,59,9279,6.36
,New Mexico,35,2008,2008,25-29 years,25-29,40,8103,4.94
,New Mexico,35,2008,2008,30-34 years,30-34,25,5155,4.85
,New Mexico,35,2008,2008,35-39 years,35-39,10,2389,4.19
,New Mexico,35,2009,2009,15-19 years,15-19,24,4438,5.41
,New Mexico,35,2009,2009,20-24 years,20-24,49,8625,5.68
,New Mexico,35,2009,2009,25-29 years,25-29,41,8022,5.11
,New Mexico,35,2009,2009,30-34 years,30-34,26,4933,5.27
,New Mexico,35,2009,2009,35-39 years,35-39,11,2325,4.73
,New Mexico,35,2010,2010,15-19 years,15-19,30,3872,7.75
,New Mexico,35,2010,2010,20-24 years,20-24,44,8205,5.36
,New Mexico,35,2010,2010,25-29 years,25-29,32,7584,4.22
,New Mexico,35,2010,2010,30-34 years,30-34,23,5100,4.51
,New Mexico,35,2010,2010,35-39 years,35-39,18,2429,7.41
,New Mexico,35,2011,2011,15-19 years,15-19,18,3452,5.21
,New Mexico,35,2011,2011,20-24 years,20-24,50,7895,6.33
,New Mexico,35,2011,2011,25-29 years,25-29,38,7744,4.91
,New Mexico,35,2011,2011,30-34 years,30-34,36,5215,6.9
,New Mexico,35,2012,2012,15-19 years,15-19,31,3275,9.47
,New Mexico,35,2012,2012,20-24 years,20-24,48,7883,6.09
,New Mexico,35,2012,2012,25-29 years,25-29,38,7531,5.05
,New Mexico,35,2012,2012,30-34 years,30-34,48,5368,8.94
,New Mexico,35,2012,2012,35-39 years,35-39,12,2373,5.06
,New Mexico,35,2013,2013,15-19 years,15-19,15,2959,5.07
,New Mexico,35,2013,2013,20-24 years,20-24,37,7681,4.82
,New Mexico,35,2013,2013,25-29 years,25-29,41,7552,5.43
,New Mexico,35,2013,2013,30-34 years,30-34,28,5251,5.33
,New Mexico,35,2013,2013,35-39 years,35-39,15,2331,6.44
,New Mexico,35,2014,2014,15-19 years,15-19,12,2543,4.72
,New Mexico,35,2014,2014,20-24 years,20-24,41,7431,5.52
,New Mexico,35,2014,2014,25-29 years,25-29,40,7537,5.31
,New Mexico,35,2014,2014,30-34 years,30-34,25,5544,4.51
,New Mexico,35,2014,2014,35-39 years,35-39,14,2413,5.8
,New York,36,2007,2007,15-19 years,15-19,156,17621,8.85
,New York,36,2007,2007,20-24 years,20-24,357,51659,6.91
,New York,36,2007,2007,25-29 years,25-29,320,67509,4.74
,New York,36,2007,2007,30-34 years,30-34,309,66378,4.66
,New York,36,2007,2007,35-39 years,35-39,189,39626,4.77
,New York,36,2007,2007,40-44 years,40-44,69,9657,7.15
,New York,36,2008,2008,15-19 years,15-19,154,17289,8.91
,New York,36,2008,2008,20-24 years,20-24,314,51093,6.15
,New York,36,2008,2008,25-29 years,25-29,346,66360,5.21
,New York,36,2008,2008,30-34 years,30-34,273,65736,4.15
,New York,36,2008,2008,35-39 years,35-39,214,39119,5.47
,New York,36,2008,2008,40-44 years,40-44,68,9718,7
,New York,36,2009,2009,15-19 years,15-19,149,16306,9.14
,New York,36,2009,2009,20-24 years,20-24,312,49746,6.27
,New York,36,2009,2009,25-29 years,25-29,314,66055,4.75
,New York,36,2009,2009,30-34 years,30-34,293,67029,4.37
,New York,36,2009,2009,35-39 years,35-39,195,38023,5.13
,New York,36,2009,2009,40-44 years,40-44,55,9880,5.57
,New York,36,2010,2010,15-19 years,15-19,125,15126,8.26
,New York,36,2010,2010,20-24 years,20-24,310,48047,6.45
,New York,36,2010,2010,25-29 years,25-29,277,64552,4.29
,New York,36,2010,2010,30-34 years,30-34,290,67621,4.29
,New York,36,2010,2010,35-39 years,35-39,169,38049,4.44
,New York,36,2010,2010,40-44 years,40-44,62,9935,6.24
,New York,36,2011,2011,15-19 years,15-19,120,13718,8.75
,New York,36,2011,2011,20-24 years,20-24,291,46161,6.3
,New York,36,2011,2011,25-29 years,25-29,299,64659,4.62
,New York,36,2011,2011,30-34 years,30-34,275,68134,4.04
,New York,36,2011,2011,35-39 years,35-39,190,37713,5.04
,New York,36,2011,2011,40-44 years,40-44,48,9912,4.84
,New York,36,2011,2011,45-49 years,45-49,10,757,13.21
,New York,36,2012,2012,15-19 years,15-19,93,12592,7.39
,New York,36,2012,2012,20-24 years,20-24,265,45525,5.82
,New York,36,2012,2012,25-29 years,25-29,305,63656,4.79
,New York,36,2012,2012,30-34 years,30-34,312,69613,4.48
,New York,36,2012,2012,35-39 years,35-39,170,38360,4.43
,New York,36,2012,2012,40-44 years,40-44,52,10136,5.13
,New York,36,2013,2013,15-19 years,15-19,93,11128,8.36
,New York,36,2013,2013,20-24 years,20-24,267,43532,6.13
,New York,36,2013,2013,25-29 years,25-29,277,62563,4.43
,New York,36,2013,2013,30-34 years,30-34,269,69828,3.85
,New York,36,2013,2013,35-39 years,35-39,184,38972,4.72
,New York,36,2013,2013,40-44 years,40-44,67,9938,6.74
,New York,36,2014,2014,15-19 years,15-19,67,9954,6.73
,New York,36,2014,2014,20-24 years,20-24,225,41949,5.36
,New York,36,2014,2014,25-29 years,25-29,268,63809,4.2
,New York,36,2014,2014,30-34 years,30-34,298,72007,4.14
,New York,36,2014,2014,35-39 years,35-39,178,40311,4.42
,New York,36,2014,2014,40-44 years,40-44,58,9755,5.95
,North Carolina,37,2007,2007,15-19 years,15-19,188,15079,12.47
,North Carolina,37,2007,2007,20-24 years,20-24,326,34913,9.34
,North Carolina,37,2007,2007,25-29 years,25-29,268,35880,7.47
,North Carolina,37,2007,2007,30-34 years,30-34,188,28216,6.66
,North Carolina,37,2007,2007,35-39 years,35-39,110,14003,7.86
,North Carolina,37,2007,2007,40-44 years,40-44,29,2559,11.33
,North Carolina,37,2008,2008,15-19 years,15-19,183,15136,12.09
,North Carolina,37,2008,2008,20-24 years,20-24,346,34500,10.03
,North Carolina,37,2008,2008,25-29 years,25-29,255,35871,7.11
,North Carolina,37,2008,2008,30-34 years,30-34,160,28521,5.61
,North Carolina,37,2008,2008,35-39 years,35-39,102,13686,7.45
,North Carolina,37,2008,2008,40-44 years,40-44,28,2734,10.24
,North Carolina,37,2009,2009,15-19 years,15-19,149,14093,10.57
,North Carolina,37,2009,2009,20-24 years,20-24,324,33898,9.56
,North Carolina,37,2009,2009,25-29 years,25-29,262,34556,7.58
,North Carolina,37,2009,2009,30-34 years,30-34,160,27855,5.74
,North Carolina,37,2009,2009,35-39 years,35-39,84,13425,6.26
,North Carolina,37,2009,2009,40-44 years,40-44,21,2690,7.81
,North Carolina,37,2010,2010,15-19 years,15-19,135,12309,10.97
,North Carolina,37,2010,2010,20-24 years,20-24,268,32497,8.25
,North Carolina,37,2010,2010,25-29 years,25-29,203,33783,6.01
,North Carolina,37,2010,2010,30-34 years,30-34,149,27488,5.42
,North Carolina,37,2010,2010,35-39 years,35-39,82,13143,6.24
,North Carolina,37,2010,2010,40-44 years,40-44,27,2784,9.7
,North Carolina,37,2011,2011,15-19 years,15-19,99,11070,8.94
,North Carolina,37,2011,2011,20-24 years,20-24,259,31390,8.25
,North Carolina,37,2011,2011,25-29 years,25-29,223,33566,6.64
,North Carolina,37,2011,2011,30-34 years,30-34,155,28305,5.48
,North Carolina,37,2011,2011,35-39 years,35-39,97,12948,7.49
,North Carolina,37,2011,2011,40-44 years,40-44,29,2803,10.35
,North Carolina,37,2012,2012,15-19 years,15-19,98,10077,9.73
,North Carolina,37,2012,2012,20-24 years,20-24,286,30941,9.24
,North Carolina,37,2012,2012,25-29 years,25-29,229,33606,6.81
,North Carolina,37,2012,2012,30-34 years,30-34,150,28940,5.18
,North Carolina,37,2012,2012,35-39 years,35-39,88,13158,6.69
,North Carolina,37,2012,2012,40-44 years,40-44,32,2833,11.3
,North Carolina,37,2013,2013,15-19 years,15-19,75,9020,8.31
,North Carolina,37,2013,2013,20-24 years,20-24,248,30172,8.22
,North Carolina,37,2013,2013,25-29 years,25-29,218,33757,6.46
,North Carolina,37,2013,2013,30-34 years,30-34,168,29501,5.69
,North Carolina,37,2013,2013,35-39 years,35-39,83,13392,6.2
,North Carolina,37,2013,2013,40-44 years,40-44,37,2862,12.93
,North Carolina,37,2014,2014,15-19 years,15-19,92,8280,11.11
,North Carolina,37,2014,2014,20-24 years,20-24,224,29588,7.57
,North Carolina,37,2014,2014,25-29 years,25-29,242,35160,6.88
,North Carolina,37,2014,2014,30-34 years,30-34,180,30516,5.9
,North Carolina,37,2014,2014,35-39 years,35-39,99,14148,7
,North Carolina,37,2014,2014,40-44 years,40-44,21,2974,7.06
,North Dakota,38,2007,2007,25-29 years,25-29,29,3084,9.4
,North Dakota,38,2007,2007,30-34 years,30-34,15,1847,8.12
,North Dakota,38,2008,2008,20-24 years,20-24,20,2346,8.53
,North Dakota,38,2008,2008,25-29 years,25-29,12,3157,3.8
,North Dakota,38,2009,2009,20-24 years,20-24,16,2254,7.1
,North Dakota,38,2009,2009,25-29 years,25-29,17,3142,5.41
,North Dakota,38,2009,2009,30-34 years,30-34,11,1990,5.53
,North Dakota,38,2010,2010,15-19 years,15-19,11,659,16.69
,North Dakota,38,2010,2010,20-24 years,20-24,17,2155,7.89
,North Dakota,38,2010,2010,25-29 years,25-29,16,3298,4.85
,North Dakota,38,2010,2010,30-34 years,30-34,13,2119,6.13
,North Dakota,38,2011,2011,20-24 years,20-24,17,2289,7.43
,North Dakota,38,2011,2011,25-29 years,25-29,19,3361,5.65
,North Dakota,38,2011,2011,30-34 years,30-34,14,2248,6.23
,North Dakota,38,2012,2012,15-19 years,15-19,10,603,16.58
,North Dakota,38,2012,2012,20-24 years,20-24,18,2451,7.34
,North Dakota,38,2012,2012,25-29 years,25-29,15,3528,4.25
,North Dakota,38,2012,2012,30-34 years,30-34,12,2583,4.65
,North Dakota,38,2013,2013,20-24 years,20-24,17,2477,6.86
,North Dakota,38,2013,2013,25-29 years,25-29,16,3757,4.26
,North Dakota,38,2013,2013,30-34 years,30-34,14,2729,5.13
,North Dakota,38,2014,2014,25-29 years,25-29,23,3947,5.83
,North Dakota,38,2014,2014,30-34 years,30-34,15,3050,4.92
,Ohio,39,2007,2007,15-19 years,15-19,163,16362,9.96
,Ohio,39,2007,2007,20-24 years,20-24,388,39936,9.72
,Ohio,39,2007,2007,25-29 years,25-29,293,44006,6.66
,Ohio,39,2007,2007,30-34 years,30-34,185,32029,5.78
,Ohio,39,2007,2007,35-39 years,35-39,110,15224,7.23
,Ohio,39,2007,2007,40-44 years,40-44,29,2890,10.03
,Ohio,39,2008,2008,15-19 years,15-19,185,16204,11.42
,Ohio,39,2008,2008,20-24 years,20-24,369,39484,9.35
,Ohio,39,2008,2008,25-29 years,25-29,274,43733,6.27
,Ohio,39,2008,2008,30-34 years,30-34,177,31763,5.57
,Ohio,39,2008,2008,35-39 years,35-39,102,14499,7.03
,Ohio,39,2008,2008,40-44 years,40-44,30,2779,10.8
,Ohio,39,2009,2009,15-19 years,15-19,168,15445,10.88
,Ohio,39,2009,2009,20-24 years,20-24,351,37946,9.25
,Ohio,39,2009,2009,25-29 years,25-29,310,42668,7.27
,Ohio,39,2009,2009,30-34 years,30-34,186,31780,5.85
,Ohio,39,2009,2009,35-39 years,35-39,72,13823,5.21
,Ohio,39,2009,2009,40-44 years,40-44,24,2789,8.61
,Ohio,39,2010,2010,15-19 years,15-19,144,13752,10.47
,Ohio,39,2010,2010,20-24 years,20-24,321,35646,9.01
,Ohio,39,2010,2010,25-29 years,25-29,295,41075,7.18
,Ohio,39,2010,2010,30-34 years,30-34,193,32191,6
,Ohio,39,2010,2010,35-39 years,35-39,95,13333,7.13
,Ohio,39,2010,2010,40-44 years,40-44,20,2798,7.15
,Ohio,39,2011,2011,15-19 years,15-19,136,12338,11.02
,Ohio,39,2011,2011,20-24 years,20-24,321,34979,9.18
,Ohio,39,2011,2011,25-29 years,25-29,279,41070,6.79
,Ohio,39,2011,2011,30-34 years,30-34,220,32895,6.69
,Ohio,39,2011,2011,35-39 years,35-39,112,13469,8.32
,Ohio,39,2011,2011,40-44 years,40-44,32,2832,11.3
,Ohio,39,2012,2012,15-19 years,15-19,136,11437,11.89
,Ohio,39,2012,2012,20-24 years,20-24,293,35547,8.24
,Ohio,39,2012,2012,25-29 years,25-29,281,41274,6.81
,Ohio,39,2012,2012,30-34 years,30-34,212,33709,6.29
,Ohio,39,2012,2012,35-39 years,35-39,83,13404,6.19
,Ohio,39,2012,2012,40-44 years,40-44,27,2813,9.6
,Ohio,39,2013,2013,15-19 years,15-19,117,10352,11.3
,Ohio,39,2013,2013,20-24 years,20-24,291,35134,8.28
,Ohio,39,2013,2013,25-29 years,25-29,293,41331,7.09
,Ohio,39,2013,2013,30-34 years,30-34,200,34801,5.75
,Ohio,39,2013,2013,35-39 years,35-39,83,14084,5.89
,Ohio,39,2013,2013,40-44 years,40-44,34,2948,11.53
,Ohio,39,2014,2014,15-19 years,15-19,94,9473,9.92
,Ohio,39,2014,2014,20-24 years,20-24,277,34048,8.14
,Ohio,39,2014,2014,25-29 years,25-29,268,42205,6.35
,Ohio,39,2014,2014,30-34 years,30-34,205,36060,5.68
,Ohio,39,2014,2014,35-39 years,35-39,83,14624,5.68
,Ohio,39,2014,2014,40-44 years,40-44,25,2752,9.08
,Oklahoma,40,2007,2007,15-19 years,15-19,77,7543,10.21
,Oklahoma,40,2007,2007,20-24 years,20-24,186,17979,10.35
,Oklahoma,40,2007,2007,25-29 years,25-29,96,15967,6.01
,Oklahoma,40,2007,2007,30-34 years,30-34,57,8876,6.42
,Oklahoma,40,2007,2007,35-39 years,35-39,33,3818,8.64
,Oklahoma,40,2007,2007,40-44 years,40-44,10,741,13.5
,Oklahoma,40,2008,2008,15-19 years,15-19,79,7494,10.54
,Oklahoma,40,2008,2008,20-24 years,20-24,129,17591,7.33
,Oklahoma,40,2008,2008,25-29 years,25-29,99,16175,6.12
,Oklahoma,40,2008,2008,30-34 years,30-34,56,8959,6.25
,Oklahoma,40,2008,2008,35-39 years,35-39,27,3727,7.24
,Oklahoma,40,2009,2009,15-19 years,15-19,93,7451,12.48
,Oklahoma,40,2009,2009,20-24 years,20-24,122,16915,7.21
,Oklahoma,40,2009,2009,25-29 years,25-29,119,16300,7.3
,Oklahoma,40,2009,2009,30-34 years,30-34,58,9255,6.27
,Oklahoma,40,2009,2009,35-39 years,35-39,30,3792,7.91
,Oklahoma,40,2010,2010,15-19 years,15-19,61,6496,9.39
,Oklahoma,40,2010,2010,20-24 years,20-24,140,16306,8.59
,Oklahoma,40,2010,2010,25-29 years,25-29,95,15985,5.94
,Oklahoma,40,2010,2010,30-34 years,30-34,58,9830,5.9
,Oklahoma,40,2010,2010,35-39 years,35-39,34,3701,9.19
,Oklahoma,40,2011,2011,15-19 years,15-19,48,6025,7.97
,Oklahoma,40,2011,2011,20-24 years,20-24,122,15898,7.67
,Oklahoma,40,2011,2011,25-29 years,25-29,116,15859,7.31
,Oklahoma,40,2011,2011,30-34 years,30-34,55,9771,5.63
,Oklahoma,40,2011,2011,35-39 years,35-39,30,3831,7.83
,Oklahoma,40,2012,2012,15-19 years,15-19,66,5844,11.29
,Oklahoma,40,2012,2012,20-24 years,20-24,116,15798,7.34
,Oklahoma,40,2012,2012,25-29 years,25-29,104,15928,6.53
,Oklahoma,40,2012,2012,30-34 years,30-34,60,10528,5.7
,Oklahoma,40,2012,2012,35-39 years,35-39,37,3766,9.82
,Oklahoma,40,2012,2012,40-44 years,40-44,14,783,17.88
,Oklahoma,40,2013,2013,15-19 years,15-19,39,5310,7.34
,Oklahoma,40,2013,2013,20-24 years,20-24,114,15812,7.21
,Oklahoma,40,2013,2013,25-29 years,25-29,99,16020,6.18
,Oklahoma,40,2013,2013,30-34 years,30-34,72,11319,6.36
,Oklahoma,40,2013,2013,35-39 years,35-39,23,3979,5.78
,Oklahoma,40,2013,2013,40-44 years,40-44,10,826,12.11
,Oklahoma,40,2014,2014,15-19 years,15-19,58,4802,12.08
,Oklahoma,40,2014,2014,20-24 years,20-24,126,15343,8.21
,Oklahoma,40,2014,2014,25-29 years,25-29,119,16507,7.21
,Oklahoma,40,2014,2014,30-34 years,30-34,93,11565,8.04
,Oklahoma,40,2014,2014,35-39 years,35-39,31,4226,7.34
,Oregon,41,2007,2007,15-19 years,15-19,41,4343,9.44
,Oregon,41,2007,2007,20-24 years,20-24,83,12274,6.76
,Oregon,41,2007,2007,25-29 years,25-29,63,14325,4.4
,Oregon,41,2007,2007,30-34 years,30-34,53,11385,4.66
,Oregon,41,2007,2007,35-39 years,35-39,27,5790,4.66
,Oregon,41,2007,2007,40-44 years,40-44,12,1110,10.81
,Oregon,41,2008,2008,15-19 years,15-19,42,4476,9.38
,Oregon,41,2008,2008,20-24 years,20-24,63,11981,5.26
,Oregon,41,2008,2008,25-29 years,25-29,58,14279,4.06
,Oregon,41,2008,2008,30-34 years,30-34,52,11457,4.54
,Oregon,41,2008,2008,35-39 years,35-39,32,5696,5.62
,Oregon,41,2009,2009,15-19 years,15-19,23,4063,5.66
,Oregon,41,2009,2009,20-24 years,20-24,62,10851,5.71
,Oregon,41,2009,2009,25-29 years,25-29,64,13823,4.63
,Oregon,41,2009,2009,30-34 years,30-34,47,11544,4.07
,Oregon,41,2009,2009,35-39 years,35-39,21,5569,3.77
,Oregon,41,2009,2009,40-44 years,40-44,10,1169,8.55
,Oregon,41,2010,2010,15-19 years,15-19,26,3496,7.44
,Oregon,41,2010,2010,20-24 years,20-24,62,10306,6.02
,Oregon,41,2010,2010,25-29 years,25-29,64,13375,4.79
,Oregon,41,2010,2010,30-34 years,30-34,45,11475,3.92
,Oregon,41,2010,2010,35-39 years,35-39,23,5570,4.13
,Oregon,41,2011,2011,15-19 years,15-19,20,3134,6.38
,Oregon,41,2011,2011,20-24 years,20-24,43,9887,4.35
,Oregon,41,2011,2011,25-29 years,25-29,61,13239,4.61
,Oregon,41,2011,2011,30-34 years,30-34,40,11875,3.37
,Oregon,41,2011,2011,35-39 years,35-39,30,5687,5.28
,Oregon,41,2012,2012,15-19 years,15-19,19,2851,6.66
,Oregon,41,2012,2012,20-24 years,20-24,58,9699,5.98
,Oregon,41,2012,2012,25-29 years,25-29,68,12998,5.23
,Oregon,41,2012,2012,30-34 years,30-34,63,12156,5.18
,Oregon,41,2012,2012,35-39 years,35-39,22,5958,3.69
,Oregon,41,2012,2012,40-44 years,40-44,10,1288,7.76
,Oregon,41,2013,2013,15-19 years,15-19,15,2594,5.78
,Oregon,41,2013,2013,20-24 years,20-24,50,9532,5.25
,Oregon,41,2013,2013,25-29 years,25-29,57,12989,4.39
,Oregon,41,2013,2013,30-34 years,30-34,47,12644,3.72
,Oregon,41,2013,2013,35-39 years,35-39,36,6004,6
,Oregon,41,2013,2013,40-44 years,40-44,16,1285,12.45
,Oregon,41,2014,2014,15-19 years,15-19,28,2390,11.72
,Oregon,41,2014,2014,20-24 years,20-24,44,9255,4.75
,Oregon,41,2014,2014,25-29 years,25-29,61,13171,4.63
,Oregon,41,2014,2014,30-34 years,30-34,51,13004,3.92
,Oregon,41,2014,2014,35-39 years,35-39,30,6275,4.78
,Oregon,41,2014,2014,40-44 years,40-44,15,1341,11.19
,Pennsylvania,42,2007,2007,15-19 years,15-19,158,13841,11.42
,Pennsylvania,42,2007,2007,20-24 years,20-24,297,34139,8.7
,Pennsylvania,42,2007,2007,25-29 years,25-29,305,42639,7.15
,Pennsylvania,42,2007,2007,30-34 years,30-34,229,36734,6.23
,Pennsylvania,42,2007,2007,35-39 years,35-39,108,19046,5.67
,Pennsylvania,42,2007,2007,40-44 years,40-44,34,3909,8.7
,Pennsylvania,42,2008,2008,15-19 years,15-19,146,13724,10.64
,Pennsylvania,42,2008,2008,20-24 years,20-24,287,34067,8.42
,Pennsylvania,42,2008,2008,25-29 years,25-29,310,42352,7.32
,Pennsylvania,42,2008,2008,30-34 years,30-34,212,36259,5.85
,Pennsylvania,42,2008,2008,35-39 years,35-39,115,18660,6.16
,Pennsylvania,42,2008,2008,40-44 years,40-44,26,3801,6.84
,Pennsylvania,42,2009,2009,15-19 years,15-19,132,12850,10.27
,Pennsylvania,42,2009,2009,20-24 years,20-24,290,32943,8.8
,Pennsylvania,42,2009,2009,25-29 years,25-29,277,41844,6.62
,Pennsylvania,42,2009,2009,30-34 years,30-34,186,36888,5.04
,Pennsylvania,42,2009,2009,35-39 years,35-39,119,17652,6.74
,Pennsylvania,42,2009,2009,40-44 years,40-44,30,3862,7.77
,Pennsylvania,42,2010,2010,15-19 years,15-19,132,11959,11.04
,Pennsylvania,42,2010,2010,20-24 years,20-24,287,31935,8.99
,Pennsylvania,42,2010,2010,25-29 years,25-29,258,41071,6.28
,Pennsylvania,42,2010,2010,30-34 years,30-34,202,37330,5.41
,Pennsylvania,42,2010,2010,35-39 years,35-39,116,16854,6.88
,Pennsylvania,42,2010,2010,40-44 years,40-44,28,3742,7.48
,Pennsylvania,42,2011,2011,15-19 years,15-19,108,10816,9.99
,Pennsylvania,42,2011,2011,20-24 years,20-24,240,31591,7.6
,Pennsylvania,42,2011,2011,25-29 years,25-29,279,41470,6.73
,Pennsylvania,42,2011,2011,30-34 years,30-34,180,38171,4.72
,Pennsylvania,42,2011,2011,35-39 years,35-39,82,16982,4.83
,Pennsylvania,42,2011,2011,40-44 years,40-44,35,3721,9.41
,Pennsylvania,42,2012,2012,15-19 years,15-19,77,10049,7.66
,Pennsylvania,42,2012,2012,20-24 years,20-24,293,31224,9.38
,Pennsylvania,42,2012,2012,25-29 years,25-29,267,41116,6.49
,Pennsylvania,42,2012,2012,30-34 years,30-34,216,39042,5.53
,Pennsylvania,42,2012,2012,35-39 years,35-39,104,16972,6.13
,Pennsylvania,42,2012,2012,40-44 years,40-44,43,3719,11.56
,Pennsylvania,42,2013,2013,15-19 years,15-19,81,8657,9.36
,Pennsylvania,42,2013,2013,20-24 years,20-24,219,30087,7.28
,Pennsylvania,42,2013,2013,25-29 years,25-29,272,40950,6.64
,Pennsylvania,42,2013,2013,30-34 years,30-34,217,39992,5.43
,Pennsylvania,42,2013,2013,35-39 years,35-39,113,17182,6.58
,Pennsylvania,42,2013,2013,40-44 years,40-44,31,3667,8.45
,Pennsylvania,42,2014,2014,15-19 years,15-19,72,7892,9.12
,Pennsylvania,42,2014,2014,20-24 years,20-24,214,29289,7.31
,Pennsylvania,42,2014,2014,25-29 years,25-29,228,41829,5.45
,Pennsylvania,42,2014,2014,30-34 years,30-34,193,41229,4.68
,Pennsylvania,42,2014,2014,35-39 years,35-39,89,17988,4.95
,Pennsylvania,42,2014,2014,40-44 years,40-44,38,3652,10.41
,Rhode Island,44,2007,2007,20-24 years,20-24,24,2691,8.92
,Rhode Island,44,2007,2007,25-29 years,25-29,21,3304,6.36
,Rhode Island,44,2007,2007,30-34 years,30-34,17,2964,5.74
,Rhode Island,44,2007,2007,35-39 years,35-39,16,1837,8.71
,Rhode Island,44,2008,2008,20-24 years,20-24,11,2541,4.33
,Rhode Island,44,2008,2008,25-29 years,25-29,24,3235,7.42
,Rhode Island,44,2008,2008,30-34 years,30-34,15,3092,4.85
,Rhode Island,44,2008,2008,35-39 years,35-39,10,1686,5.93
,Rhode Island,44,2009,2009,20-24 years,20-24,16,2445,6.54
,Rhode Island,44,2009,2009,25-29 years,25-29,14,3024,4.63
,Rhode Island,44,2009,2009,30-34 years,30-34,12,2950,4.07
,Rhode Island,44,2009,2009,35-39 years,35-39,12,1549,7.75
,Rhode Island,44,2010,2010,20-24 years,20-24,17,2330,7.3
,Rhode Island,44,2010,2010,25-29 years,25-29,19,2976,6.38
,Rhode Island,44,2010,2010,30-34 years,30-34,14,3063,4.57
,Rhode Island,44,2010,2010,35-39 years,35-39,19,1530,12.42
,Rhode Island,44,2011,2011,15-19 years,15-19,11,831,13.24
,Rhode Island,44,2011,2011,20-24 years,20-24,15,2219,6.76
,Rhode Island,44,2011,2011,25-29 years,25-29,20,3020,6.62
,Rhode Island,44,2011,2011,30-34 years,30-34,14,3063,4.57
,Rhode Island,44,2012,2012,20-24 years,20-24,17,2316,7.34
,Rhode Island,44,2012,2012,25-29 years,25-29,13,2888,4.5
,Rhode Island,44,2012,2012,30-34 years,30-34,20,3129,6.39
,Rhode Island,44,2012,2012,35-39 years,35-39,14,1466,9.55
,Rhode Island,44,2013,2013,20-24 years,20-24,16,2026,7.9
,Rhode Island,44,2013,2013,25-29 years,25-29,16,3014,5.31
,Rhode Island,44,2013,2013,30-34 years,30-34,19,3195,5.95
,Rhode Island,44,2013,2013,35-39 years,35-39,12,1521,7.89
,Rhode Island,44,2014,2014,25-29 years,25-29,12,3007,3.99
,Rhode Island,44,2014,2014,30-34 years,30-34,15,3275,4.58
,South Carolina,45,2007,2007,15-19 years,15-19,91,8329,10.93
,South Carolina,45,2007,2007,20-24 years,20-24,171,18337,9.33
,South Carolina,45,2007,2007,25-29 years,25-29,141,17417,8.1
,South Carolina,45,2007,2007,30-34 years,30-34,75,12026,6.24
,South Carolina,45,2007,2007,35-39 years,35-39,43,5554,7.74
,South Carolina,45,2007,2007,40-44 years,40-44,11,1039,10.59
,South Carolina,45,2008,2008,15-19 years,15-19,100,8329,12.01
,South Carolina,45,2008,2008,20-24 years,20-24,165,18340,9
,South Carolina,45,2008,2008,25-29 years,25-29,130,17667,7.36
,South Carolina,45,2008,2008,30-34 years,30-34,78,11915,6.55
,South Carolina,45,2008,2008,35-39 years,35-39,26,5602,4.64
,South Carolina,45,2009,2009,15-19 years,15-19,67,7651,8.76
,South Carolina,45,2009,2009,20-24 years,20-24,140,17378,8.06
,South Carolina,45,2009,2009,25-29 years,25-29,108,17056,6.33
,South Carolina,45,2009,2009,30-34 years,30-34,69,11874,5.81
,South Carolina,45,2009,2009,35-39 years,35-39,31,5450,5.69
,South Carolina,45,2010,2010,15-19 years,15-19,64,6849,9.34
,South Carolina,45,2010,2010,20-24 years,20-24,128,16598,7.71
,South Carolina,45,2010,2010,25-29 years,25-29,134,16395,8.17
,South Carolina,45,2010,2010,30-34 years,30-34,54,12053,4.48
